trial,genotype,yld
HN96b,G151,399
HN96b,G152,257
HN96b,G153,520
HN96b,G154,545
HN96b,G155,444
HN96b,G156,351
HN96b,G157,369
HN96b,G158,363
HN96b,G159,458
HN96b,G160,668
HN96b,G161,808
HN96b,G162,485
HN96b,G163,405
HN96b,G164,448
HN96b,G165,553
HN96b,G166,720
HN96b,G167,437
HN96b,G168,626
HN96b,G169,354
HN96b,G170,310
HN96b,G171,342
HN96b,G172,729
HN96b,G173,412
HN96b,G174,513
HN96b,G175,242
HN96b,G176,355
HN96b,G177,644
HN96b,G178,258
HN96b,G179,513
HN96b,G180,386
HN96b,G181,784
HN96b,G182,490
HN96b,G183,412
HN96b,G184,443
HN96b,G185,401
HN96b,G186,721
HN96b,G187,586
HN96b,G188,259
HN96b,G189,398
HN96b,G190,576
HN96b,G191,669
HN96b,G192,657
HN96b,G193,476
HN96b,G194,574
HN96b,G195,408
HN96b,G196,400
HN96b,G197,530
HN96b,G198,540
HN96b,G199,292
HN96b,G200,572
HN96b,G201,703
HN96b,G202,294
HN96b,G203,461
HN96b,G204,356
HN96b,G205,559
HN96b,G206,631
HN96b,G207,450
HN96b,G208,299
HN96b,G209,617
HN96b,G210,645
HN96b,G211,638
IS92a,G001,672
IS92a,G002,731.6
IS92a,G003,679.8
IS92a,G004,553.9
IS92a,G005,754.2
IS92a,G006,593.9
IS92a,G007,677.6
IS92a,G008,383.8
IS92a,G009,464.4
IS92a,G010,610.9
IS92a,G011,538.9
IS92a,G012,626.2
IS92a,G013,705.4
IS92a,G014,501.3
IS92a,G015,614
IS92a,G016,555.3
IS92a,G017,378
IS92a,G018,504.6
IS92a,G019,917.4
IS92a,G020,666.2
IS92a,G021,434
IS92a,G022,586
IS92a,G023,636.1
IS92a,G024,589.6
IS92a,G025,844.1
IS92a,G026,674.9
IS92a,G027,587
IS92a,G028,1008
IS92a,G029,430.3
IS92a,G030,565.7
IS92a,G031,589
IS92a,G032,745
IS92a,G033,586.6
IS92a,G034,765.5
IS92a,G035,477.7
IS92a,G036,644.2
IS92a,G037,674
IS92a,G038,451.3
IS92a,G039,683.4
IS92a,G040,596.5
IS92a,G041,401.7
IS92a,G042,1018
IS92a,G043,750.8
IS92a,G044,643.6
IS92a,G045,911.1
IS92a,G046,499.9
IS92a,G047,480
IS92a,G048,694.5
IS92a,G049,644.5
IS92a,G050,869.8
IS92a,G051,787.1
IS92a,G052,734.9
IS92a,G053,600.9
IS92a,G054,482.2
IS92a,G055,729.3
IS92a,G056,733.1
IS92a,G057,655.9
IS92a,G058,507.1
IS92a,G059,634
IS92a,G060,602.6
IS92a,G061,737.5
IS92a,G062,919.6
IS92a,G063,567.9
IS92a,G064,729.1
IS92a,G065,722.9
IS92a,G066,652.3
IS92a,G067,889.5
IS92a,G068,597.2
IS92a,G069,818.5
IS92a,G070,636.3
IS92a,G071,572.5
IS92a,G072,673.1
IS92a,G073,438.9
IS92a,G074,644.4
IS92a,G075,680.6
IS92a,G076,434.6
IS92a,G077,770.6
IS92a,G078,632.5
IS92a,G079,636.6
IS92a,G080,630.9
IS92a,G081,605
IS92a,G082,807.8
IS92a,G083,539.3
IS92a,G084,810.8
IS92a,G085,893.1
IS92a,G086,597.4
IS92a,G087,497.9
IS92a,G088,656.7
IS92a,G089,569.9
IS92a,G090,450.2
IS92a,G091,770.4
IS92a,G092,571.8
IS92a,G093,559.9
IS92a,G094,709.1
IS92a,G095,451
IS92a,G096,453
IS92a,G097,635.4
IS92a,G098,644.3
IS92a,G099,532.6
IS92a,G100,651.5
IS92a,G101,651.2
IS92a,G102,740.8
IS92a,G103,691
IS92a,G104,525.5
IS92a,G105,737.8
IS92a,G106,920.2
IS92a,G107,698
IS92a,G108,664.7
IS92a,G109,857.8
IS92a,G110,801.7
IS92a,G111,404.3
IS92a,G112,423.9
IS92a,G113,451.4
IS92a,G114,652.5
IS92a,G115,776.9
IS92a,G116,815.8
IS92a,G117,803.7
IS92a,G118,324.9
IS92a,G119,376.6
IS92a,G120,610.2
IS92a,G121,732.2
IS92a,G122,758
IS92a,G123,919.1
IS92a,G124,412.3
IS92a,G125,517.9
IS92a,G126,327.1
IS92a,G127,703.4
IS92a,G128,575
IS92a,G129,716.1
IS92a,G130,797.2
IS92a,G131,623.1
IS92a,G132,622.2
IS92a,G133,338.9
IS92a,G134,508.9
IS92a,G135,828.1
IS92a,G136,454.2
IS92a,G137,601.6
IS92a,G138,584.5
IS92a,G139,550.9
IS92a,G140,411.2
IS92a,G141,464.5
IS92a,G142,785.6
IS92a,G143,407.2
IS92a,G144,800.4
IS92a,G145,694.4
IS92a,G146,816.3
IS92a,G147,578.5
IS92a,G148,567.3
IS92a,G149,485.3
IS92a,G150,643.6
IS92a,G151,786.8
IS92a,G152,578.1
IS92a,G153,640.9
IS92a,G154,869.4
IS92a,G155,557
IS92a,G156,684.8
IS92a,G157,618.8
IS92a,G158,609.2
IS92a,G159,673.3
IS92a,G160,774
IS92a,G161,865.4
IS92a,G162,610.3
IS92a,G163,633.1
IS92a,G164,757.7
IS92a,G165,579.9
IS92a,G166,750.5
IS92a,G167,515.6
IS92a,G168,694.4
IS92a,G169,840.9
IS92a,G170,683.7
IS92a,G171,532.1
IS92a,G172,982.7
IS92a,G173,562.6
IS92a,G174,446.4
IS92a,G175,505.4
IS92a,G176,583.9
IS92a,G177,815.4
IS92a,G178,703.1
IS92a,G179,565.2
IS92a,G180,533.1
IS92a,G181,477.1
IS92a,G182,503.1
IS92a,G183,365.3
IS92a,G184,694.9
IS92a,G185,591.1
IS92a,G186,995.4
IS92a,G187,842.2
IS92a,G188,608.4
IS92a,G189,637.4
IS92a,G190,695.4
IS92a,G191,449.4
IS92a,G192,994.3
IS92a,G193,625.9
IS92a,G194,866.1
IS92a,G195,791.9
IS92a,G196,633.7
IS92a,G197,716
IS92a,G198,829
IS92a,G199,477.4
IS92a,G200,909.8
IS92a,G201,592.4
IS92a,G202,651
IS92a,G203,439.4
IS92a,G204,525.6
IS92a,G205,448.1
IS92a,G206,630.1
IS92a,G207,559.6
IS92a,G208,510.3
IS92a,G209,759.5
IS92a,G210,791.7
IS92a,G211,478.5
IS94a,G001,337.3
IS94a,G002,603.1
IS94a,G003,342.1
IS94a,G004,208.1
IS94a,G005,452.9
IS94a,G006,322
IS94a,G007,335.6
IS94a,G008,143.9
IS94a,G009,263.7
IS94a,G010,506.4
IS94a,G011,361
IS94a,G012,285.1
IS94a,G013,593.5
IS94a,G014,661.8
IS94a,G015,228.9
IS94a,G016,280.3
IS94a,G017,296.3
IS94a,G018,251.1
IS94a,G019,727.8
IS94a,G020,331.5
IS94a,G021,220.6
IS94a,G022,345.8
IS94a,G023,323.9
IS94a,G024,341.4
IS94a,G025,322.4
IS94a,G026,381
IS94a,G027,436.9
IS94a,G028,767.8
IS94a,G029,284.6
IS94a,G030,437.4
IS94a,G031,427.3
IS94a,G032,588.2
IS94a,G033,240.4
IS94a,G034,676.9
IS94a,G035,403.9
IS94a,G036,335.7
IS94a,G037,475.7
IS94a,G038,303.9
IS94a,G039,848.7
IS94a,G040,424.4
IS94a,G041,279.5
IS94a,G042,529.1
IS94a,G043,411.4
IS94a,G044,299
IS94a,G045,798.3
IS94a,G046,250.3
IS94a,G047,341.9
IS94a,G048,328.5
IS94a,G049,432.5
IS94a,G050,489.6
IS94a,G051,440.5
IS94a,G052,451.2
IS94a,G053,305.7
IS94a,G054,428.2
IS94a,G055,643.1
IS94a,G056,677
IS94a,G057,510.7
IS94a,G058,317.6
IS94a,G059,314.3
IS94a,G060,506.6
IS94a,G061,461.1
IS94a,G062,615.9
IS94a,G063,428.6
IS94a,G064,276.6
IS94a,G065,534.9
IS94a,G066,516.1
IS94a,G067,847.1
IS94a,G068,693.9
IS94a,G069,681.7
IS94a,G070,252.4
IS94a,G071,209.7
IS94a,G072,419.2
IS94a,G073,41.67
IS94a,G074,268.7
IS94a,G075,324.4
IS94a,G076,270.1
IS94a,G077,556.7
IS94a,G078,536
IS94a,G079,448
IS94a,G080,364.9
IS94a,G081,425.6
IS94a,G082,610.1
IS94a,G083,608.7
IS94a,G084,484.5
IS94a,G085,433.4
IS94a,G086,509.9
IS94a,G087,548.3
IS94a,G088,521.2
IS94a,G089,412.7
IS94a,G090,175.5
IS94a,G091,426.2
IS94a,G092,247.4
IS94a,G093,410.8
IS94a,G094,531.3
IS94a,G095,254.8
IS94a,G096,306.6
IS94a,G097,445.1
IS94a,G098,251.4
IS94a,G099,459.5
IS94a,G100,352.6
IS94a,G101,502.6
IS94a,G102,319.4
IS94a,G103,387
IS94a,G104,281
IS94a,G105,429.7
IS94a,G106,644.2
IS94a,G107,242.3
IS94a,G108,341.5
IS94a,G109,546.5
IS94a,G110,521.8
IS94a,G111,179.4
IS94a,G112,256.6
IS94a,G113,207.8
IS94a,G114,544.4
IS94a,G115,304.9
IS94a,G116,457.8
IS94a,G117,410.5
IS94a,G118,122
IS94a,G119,456.3
IS94a,G120,395
IS94a,G121,483.9
IS94a,G122,465.1
IS94a,G123,769.9
IS94a,G124,402.1
IS94a,G125,485.5
IS94a,G126,408.2
IS94a,G127,343
IS94a,G128,551.9
IS94a,G129,553.5
IS94a,G130,676.5
IS94a,G131,417.6
IS94a,G132,425.4
IS94a,G133,310.5
IS94a,G134,202.1
IS94a,G135,500.1
IS94a,G136,391.4
IS94a,G137,294.8
IS94a,G138,338.7
IS94a,G139,302.4
IS94a,G140,101.1
IS94a,G141,364.3
IS94a,G142,467
IS94a,G143,160.2
IS94a,G144,668.3
IS94a,G145,386.9
IS94a,G146,362
IS94a,G147,255
IS94a,G148,466.9
IS94a,G149,318.6
IS94a,G150,424.1
IS94a,G151,464
IS94a,G152,550.2
IS94a,G153,257
IS94a,G154,328.9
IS94a,G155,326.5
IS94a,G156,452.5
IS94a,G157,380.6
IS94a,G158,311
IS94a,G159,573.5
IS94a,G160,491.8
IS94a,G161,391.7
IS94a,G162,566.9
IS94a,G163,335.2
IS94a,G164,511
IS94a,G165,338.7
IS94a,G166,369.2
IS94a,G167,534.7
IS94a,G168,724
IS94a,G169,311
IS94a,G170,407.7
IS94a,G171,303.2
IS94a,G172,483.6
IS94a,G173,285.2
IS94a,G174,337.8
IS94a,G175,312
IS94a,G176,526.6
IS94a,G177,549.4
IS94a,G178,378.2
IS94a,G179,342.3
IS94a,G180,180
IS94a,G181,340
IS94a,G182,367.9
IS94a,G183,433.5
IS94a,G184,323.6
IS94a,G185,324
IS94a,G186,744.5
IS94a,G187,585.3
IS94a,G188,375.2
IS94a,G189,599.6
IS94a,G190,419.4
IS94a,G191,237.2
IS94a,G192,686.9
IS94a,G193,463.2
IS94a,G194,552.6
IS94a,G195,718.3
IS94a,G196,450.2
IS94a,G197,337.3
IS94a,G198,574.4
IS94a,G199,527.4
IS94a,G200,614.4
IS94a,G201,614.6
IS94a,G202,400.7
IS94a,G203,348.9
IS94a,G204,412.8
IS94a,G205,331.4
IS94a,G206,506.6
IS94a,G207,500.3
IS94a,G208,424.8
IS94a,G209,620.5
IS94a,G210,418
IS94a,G211,159.6
LN96a,G001,145
LN96a,G002,88
LN96a,G003,171
LN96a,G004,110
LN96a,G005,166
LN96a,G006,251
LN96a,G007,350
LN96a,G008,213
LN96a,G009,194
LN96a,G010,150
LN96a,G011,189
LN96a,G012,217
LN96a,G013,120
LN96a,G014,282
LN96a,G015,85
LN96a,G016,123
LN96a,G017,81
LN96a,G018,139
LN96a,G019,470
LN96a,G020,274
LN96a,G021,174
LN96a,G022,181
LN96a,G023,251
LN96a,G024,195
LN96a,G025,207
LN96a,G026,255
LN96a,G027,162
LN96a,G028,168
LN96a,G029,272
LN96a,G030,226
LN96a,G031,170
LN96a,G032,303
LN96a,G033,193
LN96a,G034,237
LN96a,G035,279
LN96a,G036,215
LN96a,G037,99
LN96a,G038,162
LN96a,G039,168
LN96a,G040,112
LN96a,G041,128
LN96a,G042,102
LN96a,G043,203
LN96a,G044,124
LN96a,G045,282
LN96a,G046,179
LN96a,G047,159
LN96a,G048,174
LN96a,G049,164
LN96a,G050,148
LN96a,G051,184
LN96a,G052,151
LN96a,G053,161
LN96a,G054,223
LN96a,G055,290
LN96a,G056,284
LN96a,G057,105
LN96a,G058,157
LN96a,G059,156
LN96a,G060,155
LN96a,G061,220
LN96a,G062,118
LN96a,G063,179
LN96a,G064,173
LN96a,G065,165
LN96a,G066,202
LN96a,G067,335
LN96a,G068,331
LN96a,G069,200
LN96a,G070,142
LN96a,G071,106
LN96a,G072,296
LN96a,G073,142
LN96a,G074,142
LN96a,G075,197
LN96a,G076,93
LN96a,G077,81
LN96a,G078,107
LN96a,G079,137
LN96a,G080,137
LN96a,G081,109
LN96a,G082,95
LN96a,G083,267
LN96a,G084,241
LN96a,G085,120
LN96a,G086,163
LN96a,G087,222
LN96a,G088,174
LN96a,G089,96
LN96a,G090,140
LN96a,G091,154
LN96a,G092,120
LN96a,G093,154
LN96a,G094,299
LN96a,G095,116
LN96a,G096,210
LN96a,G097,165
LN96a,G098,143
LN96a,G099,139
LN96a,G100,207
LN96a,G101,117
LN96a,G102,263
LN96a,G103,216
LN96a,G104,299
LN96a,G105,209
LN96a,G106,249
LN96a,G107,148
LN96a,G108,180
LN96a,G109,164
LN96a,G110,170
LN96a,G111,182
LN96a,G112,169
LN96a,G113,108
LN96a,G114,216
LN96a,G115,329
LN96a,G116,257
LN96a,G117,228
LN96a,G118,168
LN96a,G119,139
LN96a,G120,137
LN96a,G121,467
LN96a,G122,196
LN96a,G123,384
LN96a,G124,192
LN96a,G125,162
LN96a,G126,156
LN96a,G127,219
LN96a,G128,175
LN96a,G129,225
LN96a,G130,276
LN96a,G131,234
LN96a,G132,131
LN96a,G133,246
LN96a,G134,163
LN96a,G135,164
LN96a,G136,229
LN96a,G137,199
LN96a,G138,62
LN96a,G139,168
LN96a,G140,57
LN96a,G141,125
LN96a,G142,200
LN96a,G143,98
LN96a,G144,100
LN96a,G145,187
LN96a,G146,190
LN96a,G147,197
LN96a,G148,178
LN96a,G149,109
LN96a,G150,114
LN96a,G151,236
LN96a,G152,183
LN96a,G153,153
LN96a,G154,230
LN96a,G155,151
LN96a,G156,105
LN96a,G157,219
LN96a,G158,205
LN96a,G159,260
LN96a,G160,245
LN96a,G161,205
LN96a,G162,191
LN96a,G163,116
LN96a,G164,192
LN96a,G165,218
LN96a,G166,150
LN96a,G167,152
LN96a,G168,149
LN96a,G169,141
LN96a,G170,178
LN96a,G171,152
LN96a,G172,173
LN96a,G173,141
LN96a,G174,149
LN96a,G175,237
LN96a,G176,192
LN96a,G177,193
LN96a,G178,131
LN96a,G179,183
LN96a,G180,62
LN96a,G181,189
LN96a,G182,187
LN96a,G183,207
LN96a,G184,176
LN96a,G185,163
LN96a,G186,208
LN96a,G187,183
LN96a,G188,123
LN96a,G189,149
LN96a,G190,179
LN96a,G191,128
LN96a,G192,300
LN96a,G193,157
LN96a,G194,42
LN96a,G195,206
LN96a,G196,266
LN96a,G197,142
LN96a,G198,227
LN96a,G199,128
LN96a,G200,228
LN96a,G201,216
LN96a,G202,164
LN96a,G203,196
LN96a,G204,173
LN96a,G205,318
LN96a,G206,249
LN96a,G207,141
LN96a,G208,121
LN96a,G209,172
LN96a,G210,273
LN96a,G211,118
LN96b,G001,71
LN96b,G002,140
LN96b,G003,108
LN96b,G004,-4
LN96b,G005,303
LN96b,G006,36
LN96b,G007,47
LN96b,G008,57
LN96b,G009,124
LN96b,G010,147
LN96b,G011,63
LN96b,G012,14
LN96b,G013,187
LN96b,G014,254
LN96b,G015,39
LN96b,G016,42
LN96b,G017,57
LN96b,G018,138
LN96b,G019,143
LN96b,G020,121
LN96b,G021,31
LN96b,G022,19
LN96b,G023,142
LN96b,G024,63
LN96b,G025,154
LN96b,G026,165
LN96b,G027,0
LN96b,G028,77
LN96b,G029,41
LN96b,G030,65
LN96b,G031,53
LN96b,G032,86
LN96b,G033,101
LN96b,G034,102
LN96b,G035,48
LN96b,G036,109
LN96b,G037,59
LN96b,G038,65
LN96b,G039,86
LN96b,G040,29
LN96b,G041,289
LN96b,G042,64
LN96b,G043,67
LN96b,G044,41
LN96b,G045,53
LN96b,G046,89
LN96b,G047,85
LN96b,G048,71
LN96b,G049,99
LN96b,G050,179
LN96b,G051,21
LN96b,G052,62
LN96b,G053,121
LN96b,G054,24
LN96b,G055,73
LN96b,G056,99
LN96b,G057,65
LN96b,G058,59
LN96b,G059,25
LN96b,G060,233
LN96b,G061,104
LN96b,G062,136
LN96b,G063,49
LN96b,G064,82
LN96b,G065,47
LN96b,G066,77
LN96b,G067,71
LN96b,G068,137
LN96b,G069,109
LN96b,G070,27
LN96b,G071,17
LN96b,G072,29
LN96b,G073,23
LN96b,G074,35
LN96b,G075,29
LN96b,G076,-6
LN96b,G077,53
LN96b,G078,59
LN96b,G079,85
LN96b,G080,64
LN96b,G081,97
LN96b,G082,105
LN96b,G083,37
LN96b,G084,54
LN96b,G085,108
LN96b,G086,67
LN96b,G087,85
LN96b,G088,97
LN96b,G089,11
LN96b,G090,23
LN96b,G091,31
LN96b,G092,28
LN96b,G093,-1
LN96b,G094,13
LN96b,G095,97
LN96b,G096,120
LN96b,G097,55
LN96b,G098,95
LN96b,G099,110
LN96b,G100,99
LN96b,G101,202
LN96b,G102,57
LN96b,G103,102
LN96b,G104,185
LN96b,G105,111
LN96b,G106,187
LN96b,G107,34
LN96b,G108,47
LN96b,G109,83
LN96b,G110,-11
LN96b,G111,117
LN96b,G112,118
LN96b,G113,-45
LN96b,G114,83
LN96b,G115,347
LN96b,G116,137
LN96b,G117,49
LN96b,G118,53
LN96b,G119,109
LN96b,G120,121
LN96b,G121,125
LN96b,G122,94
LN96b,G123,182
LN96b,G124,143
LN96b,G125,123
LN96b,G126,66
LN96b,G127,129
LN96b,G128,47
LN96b,G129,192
LN96b,G130,48
LN96b,G131,207
LN96b,G132,161
LN96b,G133,68
LN96b,G134,90
LN96b,G135,140
LN96b,G136,289
LN96b,G137,119
LN96b,G138,34
LN96b,G139,-23
LN96b,G140,36
LN96b,G141,150
LN96b,G142,153
LN96b,G143,48
LN96b,G144,120
LN96b,G145,45
LN96b,G146,118
LN96b,G147,79
LN96b,G148,63
LN96b,G149,16
LN96b,G150,79
LN96b,G151,30
LN96b,G152,160
LN96b,G153,40
LN96b,G154,138
LN96b,G155,54
LN96b,G156,63
LN96b,G157,70
LN96b,G158,35
LN96b,G159,25
LN96b,G160,233
LN96b,G161,64
LN96b,G162,88
LN96b,G163,56
LN96b,G164,64
LN96b,G165,53
LN96b,G166,105
LN96b,G167,251
LN96b,G168,79
LN96b,G169,78
LN96b,G170,45
LN96b,G171,107
LN96b,G172,89
LN96b,G173,68
LN96b,G174,73
LN96b,G175,67
LN96b,G176,49
LN96b,G177,98
LN96b,G178,57
LN96b,G179,-6
LN96b,G180,53
LN96b,G181,143
LN96b,G182,44
LN96b,G183,127
LN96b,G184,115
LN96b,G185,97
LN96b,G186,221
LN96b,G187,108
LN96b,G188,40
LN96b,G189,30
LN96b,G190,41
LN96b,G191,102
LN96b,G192,116
LN96b,G193,57
LN96b,G194,19
LN96b,G195,74
LN96b,G196,81
LN96b,G197,169
LN96b,G198,93
LN96b,G199,50
LN96b,G200,244
LN96b,G201,81
LN96b,G202,179
LN96b,G203,158
LN96b,G204,161
LN96b,G205,98
LN96b,G206,121
LN96b,G207,166
LN96b,G208,186
LN96b,G209,44
LN96b,G210,174
LN96b,G211,24
NS92a,G001,1260
NS92a,G002,1143
NS92a,G003,1152
NS92a,G004,766.9
NS92a,G005,894.7
NS92a,G006,1144
NS92a,G007,1094
NS92a,G008,709.6
NS92a,G009,1327
NS92a,G010,1113
NS92a,G011,993
NS92a,G012,1024
NS92a,G013,901.2
NS92a,G014,1082
NS92a,G015,843.6
NS92a,G016,1143
NS92a,G017,809.9
NS92a,G018,1096
NS92a,G019,1502
NS92a,G020,1164
NS92a,G021,757.8
NS92a,G022,1071
NS92a,G023,1063
NS92a,G024,1077
NS92a,G025,1329
NS92a,G026,993.7
NS92a,G027,1261
NS92a,G028,1240
NS92a,G029,859.9
NS92a,G030,1257
NS92a,G031,1066
NS92a,G032,1293
NS92a,G033,1112
NS92a,G034,1020
NS92a,G035,737.6
NS92a,G036,965.1
NS92a,G037,1331
NS92a,G038,966.6
NS92a,G039,1128
NS92a,G040,934.4
NS92a,G041,546
NS92a,G042,1293
NS92a,G043,1202
NS92a,G044,1026
NS92a,G045,1022
NS92a,G046,838.7
NS92a,G047,1335
NS92a,G048,1224
NS92a,G049,1055
NS92a,G050,1186
NS92a,G051,1157
NS92a,G052,1110
NS92a,G053,768.5
NS92a,G054,1192
NS92a,G055,1522
NS92a,G056,1166
NS92a,G057,1129
NS92a,G058,1146
NS92a,G059,961.4
NS92a,G060,854.9
NS92a,G061,1429
NS92a,G062,1154
NS92a,G063,975.9
NS92a,G064,967.9
NS92a,G065,1129
NS92a,G066,1147
NS92a,G067,1299
NS92a,G068,1391
NS92a,G069,1235
NS92a,G070,972.5
NS92a,G071,939
NS92a,G072,1165
NS92a,G073,887.5
NS92a,G074,1005
NS92a,G075,1068
NS92a,G076,731.9
NS92a,G077,1081
NS92a,G078,1255
NS92a,G079,867.5
NS92a,G080,834.9
NS92a,G081,1158
NS92a,G082,1265
NS92a,G083,948.6
NS92a,G084,830.6
NS92a,G085,1146
NS92a,G086,1236
NS92a,G087,1068
NS92a,G088,1116
NS92a,G089,1008
NS92a,G090,822.8
NS92a,G091,1422
NS92a,G092,1242
NS92a,G093,934.8
NS92a,G094,1261
NS92a,G095,881.7
NS92a,G096,1134
NS92a,G097,1145
NS92a,G098,952.4
NS92a,G099,1151
NS92a,G100,1155
NS92a,G101,830.9
NS92a,G102,901.9
NS92a,G103,1445
NS92a,G104,1269
NS92a,G105,1346
NS92a,G106,1270
NS92a,G107,956.4
NS92a,G108,919.5
NS92a,G109,1085
NS92a,G110,1227
NS92a,G111,892.8
NS92a,G112,583.9
NS92a,G113,811.7
NS92a,G114,778.9
NS92a,G115,1038
NS92a,G116,993.1
NS92a,G117,1215
NS92a,G118,533.1
NS92a,G119,854.1
NS92a,G120,1282
NS92a,G121,1196
NS92a,G122,1167
NS92a,G123,1280
NS92a,G124,1052
NS92a,G125,1340
NS92a,G126,987.6
NS92a,G127,929.1
NS92a,G128,669
NS92a,G129,1104
NS92a,G130,1414
NS92a,G131,959.2
NS92a,G132,919.9
NS92a,G133,661.1
NS92a,G134,909.8
NS92a,G135,1259
NS92a,G136,1191
NS92a,G137,1271
NS92a,G138,873.7
NS92a,G139,697.2
NS92a,G140,598.6
NS92a,G141,718.6
NS92a,G142,1102
NS92a,G143,1068
NS92a,G144,973.8
NS92a,G145,1309
NS92a,G146,1142
NS92a,G147,1111
NS92a,G148,924
NS92a,G149,929.5
NS92a,G150,1242
NS92a,G151,904.8
NS92a,G152,1075
NS92a,G153,983.2
NS92a,G154,1126
NS92a,G155,860.7
NS92a,G156,1002
NS92a,G157,801.2
NS92a,G158,936
NS92a,G159,1310
NS92a,G160,1430
NS92a,G161,1190
NS92a,G162,978.5
NS92a,G163,967
NS92a,G164,1151
NS92a,G165,1243
NS92a,G166,1175
NS92a,G167,888.5
NS92a,G168,1324
NS92a,G169,1054
NS92a,G170,1172
NS92a,G171,807.1
NS92a,G172,1186
NS92a,G173,873.9
NS92a,G174,907.5
NS92a,G175,826.4
NS92a,G176,723
NS92a,G177,1152
NS92a,G178,964
NS92a,G179,991.9
NS92a,G180,583.1
NS92a,G181,1110
NS92a,G182,903
NS92a,G183,979.9
NS92a,G184,877.8
NS92a,G185,740.7
NS92a,G186,1337
NS92a,G187,972.5
NS92a,G188,1028
NS92a,G189,1017
NS92a,G190,1058
NS92a,G191,940
NS92a,G192,1435
NS92a,G193,888.9
NS92a,G194,1311
NS92a,G195,1232
NS92a,G196,974.6
NS92a,G197,952.5
NS92a,G198,1191
NS92a,G199,824.2
NS92a,G200,1202
NS92a,G201,1315
NS92a,G202,1088
NS92a,G203,711.6
NS92a,G204,1112
NS92a,G205,1079
NS92a,G206,872.5
NS92a,G207,701
NS92a,G208,922.1
NS92a,G209,962.3
NS92a,G210,1018
NS92a,G211,1002
SS92a,G001,493.4
SS92a,G002,438.4
SS92a,G003,409.3
SS92a,G004,369.1
SS92a,G005,427.3
SS92a,G006,267.4
SS92a,G007,376.4
SS92a,G008,158
SS92a,G009,201.8
SS92a,G010,494.8
SS92a,G011,348.5
SS92a,G012,356.2
SS92a,G013,412.8
SS92a,G014,278.2
SS92a,G015,315.6
SS92a,G016,89.9
SS92a,G017,215.2
SS92a,G018,272.1
SS92a,G019,607
SS92a,G020,375.3
SS92a,G021,277.8
SS92a,G022,374.1
SS92a,G023,498.4
SS92a,G024,303.6
